OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
0002a4612a2a89d380a9d043f447a201	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured bacterium
00031702aa1a44795c2b028cace2a487	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	uncultured	
000ad0d272a9ca71eee7f801b79366f9	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Variovorax	
00106529c2825fe50cb40068f065f5fc	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	
0014dbd4a81ce91c2ea94da30973fe31	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	uncultured bacterium
001a9346a10d6cab828ea42d951a43ad	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	
001d9830cf5ec051cb5f06a6817cf04a	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 1	
001ee59b64bb278cc5299a9316a94661	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	uncultured bacterium
002a2e1623064e1bb1a155a42edb43b9	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	
00311727d67d3f76983b0cd145b846b3	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae		
0034cee4ac657929ce290cb076983545	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	uncultured bacterium	uncultured bacterium
00363f0f9dc9d3c5640cb3fee0765204	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured bacterium	uncultured bacterium
004115d8920f422a587e6a3f0873a3d3	Bacteria	Actinobacteria	MB-A2-108	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
0042a53d5b00bc56753fa07400b60c4a	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured bacterium
0045ddfe8b4419a4cebb1b236598ec82	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured	uncultured bacterium
005a06fe52dddf964d43bfdac5e76fa0	Bacteria	Acidobacteria	Subgroup 6				
005a44ea1d5f2366d459312ed329e2bd	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	
005e30e80e042c171aa207dbc4c3804c	Bacteria	Chloroflexi	KD4-96	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
0063b48f7f41308fbd3dd094b6df006f	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256			
