SampleID	SampleIDBac	Sample_IDa	Treatment_Descrip	Replication	Sampling_Location	Sampling_Time	Sampling_Year	Date	Season	Lab	NucliecAcid	TreatmentCode	Replication_Code	FertMan	NI	NIT	NI_app	NI_ Cons.	Tillage	Year_Time	Crop
KL22Fun-1	KL22Bac-1	22EH1	"Control (no NI, no fertilizer)"	1	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	C	a	No	No	No	No	0	PL	2022_Early	SpringBarley
KL22Fun-2	KL22Bac-2	22EH2	"Control (no NI, no fertilizer)"	2	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	C	b	No	No	No	No	0	PL	2022_Early	SpringBarley
KL22Fun-3	KL22Bac-3	22EH3	"Control (no NI, no fertilizer)"	3	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	C	c	No	No	No	No	0	PL	2022_Early	SpringBarley
KL22Fun-4	KL22Bac-4	22EH4	pig slurry	1	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	PS	a	PS	No	No	No	0	PL	2022_Early	SpringBarley
KL22Fun-5	KL22Bac-5	22EH5	pig slurry	2	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	PS	b	PS	No	No	No	0	PL	2022_Early	SpringBarley
KL22Fun-6	KL22Bac-6	22EH6	pig slurry	3	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	PS	c	PS	No	No	No	0	PL	2022_Early	SpringBarley
KL22Fun-7	KL22Bac-7	22EH7	pig slurry with Vizura	1	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	PV1	a	PS	Vizura	DMPP	Yes	1	PL	2022_Early	SpringBarley
KL22Fun-8	KL22Bac-8	22EH8	pig slurry with Vizura	2	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	PV1	b	PS	Vizura	DMPP	Yes	1	PL	2022_Early	SpringBarley
KL22Fun-9	KL22Bac-9	22EH9	pig slurry with Vizura	3	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	PV1	c	PS	Vizura	DMPP	Yes	1	PL	2022_Early	SpringBarley
KL22Fun-10	KL22Bac-10	22EH10	pig slurry with Vizura	1	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	PV3	a	PS	Vizura	DMPP	Yes	3	PL	2022_Early	SpringBarley
KL22Fun-11	KL22Bac-11	22EH11	pig slurry with Vizura	2	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	PV3	b	PS	Vizura	DMPP	Yes	3	PL	2022_Early	SpringBarley
KL22Fun-12	KL22Bac-12	22EH12	pig slurry with Vizura	3	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	PV3	c	PS	Vizura	DMPP	Yes	3	PL	2022_Early	SpringBarley
KL22Fun-13	KL22Bac-13	22EH13	pig slurry with Vizura	1	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	PV10	a	PS	Vizura	DMPP	Yes	10	PL	2022_Early	SpringBarley
KL22Fun-14	KL22Bac-14	22EH14	pig slurry with Vizura	2	Højbakkegaard	Early_15d	2022		Spring	Tanja	DNA	PV10	b	PS	Vizura	DMPP	Yes	10	PL	2022_Early	SpringBarley
