OTU_ID	C1	C3	PS1	PS2	PS3	PV1	PV2	PV3	PV4	PV5	PV6	PV7	PV8	PV9	PI1	PI2	PI3	PI4	PI5	PI6	PI7	PI8	PI9	NS1	NS2	NS3	NE1	NE2	NE3
fc23ee8b2c2a9e55d6811e33171bfeb8	798	442	503	1234	851	389	813	911	883	661	262	488	367	110	702	543	792	536	684	465	412	472	461	43	842	492	763	1804	399
03e33bfee87f5a28ffee1c7bfab4801a	1112	890	313	1727	1440	1266	779	1461	521	1743	232	641	907	17556	1768	605	995	3094	948	1307	1179	884	1546	76	403	203	371	289	210
edc2d5d5c64ad4fc744936afef914ad8	443	197	212	223	447	178	348	363	51	336	293	395	153	82	287	575	622	302	476	358	625	1287	481	47	1591	613	604	610	549
1b8b5da838a074ef90ca40d025df8eaf	1607	1257	1569	3643	2167	3105	1845	2841	1709	1395	1184	1811	1463	260	2715	1478	1718	3706	2260	1556	1676	1497	2202	122	755	472	930	790	889
bf7e08f48cbdfd1ec296fb0a8c61dcca	554	624	593	1209	1414	617	671	1230	831	460	402	553	311	44	495	395	494	365	334	332	355	461	385	28	344	434	430	653	408
2b50e69ac02958bde2a5560c95139a43	0	0	0	0	34	49	0	0	191	26	0	0	0	0	19	98	30	0	40	40	51	217	0	43	172	99	639	62	0
d2f283ae23ce49a512f9ef44834b1365	314	313	317	626	832	327	397	543	377	255	244	442	146	86	285	226	257	236	208	210	253	315	291	0	165	245	259	182	207
1b7990e5949cbbd5303abb0770fec99d	25	64	596	238	221	147	52	270	176	162	100	81	341	93	368	217	134	138	335	118	306	613	173	19	122	97	149	124	55
77dfaa96277e20a140311773804b2aed	0	12	30	0	25	0	0	40	0	0	0	0	5	0	0	21	17	11	0	43	43	10	0	0	0	0	0	25	30
0152b715bd735f4f13f2a430f35fbff8	111	62	32	0	0	0	36	96	90	37	413	62	34	54	0	70	33	95	0	0	53	64	48	0	194	167	109	45	27
db74c6e51095b8221135c5458c8a48ba	0	9	0	10	0	46	0	4	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0e7fe133b1b9752abd606e14011715bd	168	108	227	349	371	133	224	292	174	195	126	183	153	58	151	212	209	239	193	194	162	322	182	0	380	209	134	236	103
270bb09e379af825406a5c1019d9afdf	135	286	170	368	214	312	172	110	175	157	214	292	159	38	284	124	207	272	160	164	164	193	206	17	381	54	118	186	155
cf3949538f6629aa5dada34c91492b92	66	35	42	65	108	28	62	173	386	93	66	43	90	70	72	161	139	85	82	89	52	222	150	0	181	141	0	316	98
cead250b2fd0e1ef38977bd020f335e2	0	0	0	66	115	34	46	439	0	46	28	43	46	61	22	100	179	0	94	42	48	302	136	31	82	140	20	430	129
eecce745fb3483a362fc9b1212755ec5	0	0	0	0	0	38	23	0	0	0	41	0	0	3	24	0	0	0	43	0	0	0	0	0	43	0	0	0	0
95b8cb8342a29b57f4810b2fe59c6f53	182	102	198	314	283	123	172	283	141	144	60	193	180	43	150	202	150	245	153	120	165	320	146	0	246	242	150	137	107
705334121a4c139fc6b92f303ccdd261	446	287	296	308	441	350	309	612	310	612	221	454	218	136	443	346	695	738	305	422	592	558	532	57	278	667	130	512	300
48c238062da95e46c9a18fa32eec3729	134	117	121	258	242	91	151	191	197	140	67	118	38	23	163	155	120	186	149	69	92	137	90	0	289	110	101	490	77
c490125c6ff03bfa556b4cdedab1055a	382	414	504	513	414	182	389	415	73	345	303	173	216	50	333	217	659	311	322	359	202	215	580	0	295	58	154	103	333
bf6ebb2ffbd49ec5818f267af8e933ce	127	0	68	157	105	87	22	126	91	35	37	79	49	19	106	65	55	87	64	53	107	97	64	19	69	55	71	60	46
d89e5baad291243df806fdb845325e8a	228	129	190	235	422	348	219	254	80	132	214	225	116	110	211	108	267	474	125	176	290	280	243	0	69	0	65	156	137
c856301662e353442fff6fdbf8e20020	29	88	36	75	98	101	29	320	122	61	307	516	33	43	92	35	108	74	25	50	63	93	132	26	191	135	185	66	60
