Feature_ID	Taxon	Consensus
000fa5310c2be5beba832aaa6382f40b	Unassigned	1.0
001690f1f8ef070014d6fadf302f327d	Unassigned	1.0
0019486239715ed89b00a8c02ea7218a	Unassigned	1.0
0026cc0f748fef77ec733e35b420827b	Unassigned	1.0
002c960c5a1103849ca31009b8a9aae1	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	1.0
0037cfb30d623f7e4f5a6c31f8d11d34	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae	1.0
00389c900baec4faf083bdbd5bc26b48	k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Kondoaceae	1.0
003eb757b97cb75161ce827bf22a9572	Unassigned	1.0
0044af746c37be8fb663be1cb6e636ed	Unassigned	1.0
004918d26d2edfe3dab91739253d961b	Unassigned	1.0
004d94b70c13bcd4b00bc4664c8afe68	Unassigned	1.0
004ea7b27ab48235a1a1be589ae0ff33	Unassigned	1.0
004f8a64ec14f2fa8386a8a71a3d0ac0	Unassigned	1.0
0053da5e961f1966f6a444969b10a73d	Unassigned	1.0
00566ae20393b676c7ca1e4db20915a5	Unassigned	1.0
0065ade04eac87931f4837e3ff23f950	Unassigned	1.0
0068078bba74be3ea47b67e2a6045746	k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes;o__Rhizophlyctidales;f__Rhizophlyctidaceae;g__Rhizophlyctis;s__Rhizophlyctis_rosea	1.0
006fa379d94f9dd1d2eba5b87a3354e3	Unassigned	1.0
007438012ad3939a86bd6cbaa2fbe5c6	Unassigned	1.0
007493a5e5e3b220777a541033fbbd8e	Unassigned	1.0
0074a7228b72d9bcb0c14cca614419c8	Unassigned	1.0
007f1437606bedb4f5f696d26643cc42	Unassigned	1.0
00823f2af6ff941d683f2493896be7a5	Unassigned	1.0
0086a2c2de798a64dddbcb749cff647f	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__unidentified;s__unidentified	1.0
008ac8e131731b32280be8f38b10483c	Unassigned	1.0
008b25b06eef30538b058807da45fb72	Unassigned	1.0
009071ce086ca1d3d9c145f861990a74	Unassigned	1.0
009225d1709aae0aca15cd9817cf1e6e	k__Fungi;p__Chytridiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	1.0
009b6442a1211935e5ff7dafc7534150	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Amaurodon;s__Amaurodon_mustialaensis	1.0
00a274f564954f808251eadbea956742	Unassigned	1.0
00a924475fdf6343f2c9f8d40e2b42b2	Unassigned	1.0
00ada247ef7f2ce0af9d3422e7e27337	k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__unidentified;s__unidentified	1.0
00b56b7b2cde91a1b378efebdd11cdf3	Unassigned	1.0
00bb19f0eb0768cecb96081034b61a64	Unassigned	1.0
00bdc79fa68debffda03c50ca152df83	Unassigned	1.0
00beabe8215b48792ab907b9d54a44d0	Unassigned	1.0
00c088e6e0309bf21cfb8a6f85a1c2e8	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.7
00c219f61cd202f6d45944f4602e6921	Unassigned	1.0
